S/N,NAME OF THE PS ,CR NO,DATE OF REPORT,SEC OF LAW,CRIME HEAD,ROAD TYPE,DATE OF OCCURRENCE,TIME OF OCCURRENCE,PLACE OF OCCURRENCE ,PLACE OF OCCURRENCE RURAL V/R URBAN,"ROAD TYPE 
(NH, SH, DR TOWN, VILLAGE ROAD)",VICTIM  VEHICLE,ACCUSED VEHICLE,DEATHS: MALE AGES,DEATHS FEMALE AGES,GREVIOUS INJURED: MALE AGES,GREVIOUS INJURED: FEMALE AGES,"SIMPLE INJURED : MALE AGES
","SIMPLE INJURED : FEMALE AGES
",IF PEDESTRIAN AGE : MALE AGE,IF PEDESTRIAN AGE : FEMALE AGE,MALE ACCUSED AGE,FEMALE ACCUSED AGE,DRIVING LICENCE       (YES V/R NO V/R NOT KNOWN),INSURANCE   (YES V/R NO V/R NOT KNOWN),WEATHER CONDITION
1,Kolar Rural PS,0001/2024,02-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,31-12-2023,12:45,NEAR MUDUVADI,RURAL,SH,,,,,,,45/47/19,,,,19,,YES,YES,GOOD
2,Kolar Rural PS,0002/2024,04-01-2024,"IPC 1860 U/s: 279,337,338,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,03-01-2024,21:30,NAGALAPURA GATE ,RURAL,NH,UMBULENCE,CONTAINER,45,,,39,24/25/36,22,,,40,,YES,YES,GOOD
3,Kolar Rural PS,0005/2024,08-01-2024,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,07-01-2024,09:00,MADERAHALLI GATE ,RURAL,NH,CAR,LORRY,,,,,,,,,41,,YES,YES,GOOD
4,Kolar Rural PS,0008/2024,09-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,09-01-2024,06:30,SUGATUR,RURAL,SH,T/W,CONTAINER,,,,,23,,,,35,,YES,YES,GOOD
5,Kolar Rural PS,0011/2024,10-01-2024,"IPC 1860 U/s: 338,279",MOTV/R VEHICLE ACCIDENTS NON-FATAL,Other Roads,07-01-2024,19:30,VOKKALERI,RURAL,V/R,T/W,CAR,,,,,18,,,,42,,YES,YES,GOOD
6,Kolar Rural PS,0013/2024,10-01-2024,"IPC 1860 U/s: 279,304(A) INDIAN MOTV/R VEHICLES ACT, 1988 U/s: 187",MOTV/R VEHICLE ACCIDENTS FATAL,Other Roads,10-01-2024,19:15,MUDUVATHI,RURAL,V/R,T/W,TATA ACE,55,,,,,,,,25,,YES,YES,GOOD
7,Kolar Rural PS,0014/2024,11-01-2024,"IPC 1860 U/s: 304(A),279",MOTV/R VEHICLE ACCIDENTS FATAL,State Highways,11-01-2024,15:30,SETTIKOTHANURU,RURAL,V/R,T/W,LV/RRY,60,,,,,,,,49,,YES,YES,GOOD
8,Kolar Rural PS,0017/2024,13-01-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,11-01-2024,12:30,KENDATTI,RURAL,NH,T/W,CAR,,,,,48,,,,36,,YES,YES,GOOD
9,Kolar Rural PS,0020/2024,15-01-2024,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,06-01-2024,20:30,MOORANDAHALLI GATE ,RURAL,SH,T/W,CAR,45,,,,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,GOOD
10,Kolar Rural PS,0021/2024,15-01-2024,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,13-01-2024,11:30,MYLANDAHALLI GATE,RURAL,SH,T/W,SELF,,,,47,,,,,27,,YES,YES,GOOD
11,Kolar Rural PS,0022/2024,15-01-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,15-01-2024,11:45,NAGALAPURA GATE ,RURAL,NH,-,GOODS,45,,,,,,45,,43,,YES,YES,GOOD
